,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3002235.982,5442.0
230,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2972178.775,25225.0
231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2179426.182,28078.0
232,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2332451.9480000003,22456.0
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2318384.914,13866.0
234,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,2625286.4869999997,52686.0
235,4.0,6.0,3.0,12.0,3.0,11.0,4.0,17.0,3145045.065,220024.0
236,6.0,6.0,0.0,4.0,1.0,9.0,4.0,8.0,3172343.858,101792.0
237,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2549722.394,29555.0
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2311653.169,25872.0
239,3.0,3.0,3.0,9.0,1.0,9.0,2.0,31.0,2690278.24,216604.0
240,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2395944.494,22645.0
241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459909.879,78800.0
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459909.879,80604.0
243,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2357856.268,51489.0
244,1.0,1.0,1.0,2.0,2.0,1.0,0.0,4.0,2728688.8839999996,52466.0
245,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2447399.068,19015.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459909.879,85552.0
247,2.0,2.0,5.0,7.0,6.0,8.0,2.0,16.0,2628961.7090000003,144650.0
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2457529.206,14557.0
249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459909.879,106286.0
250,3.0,2.0,0.0,6.0,3.0,4.0,5.0,21.0,2888687.88,148805.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459909.879,79720.0
252,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2401842.105,31471.0
253,5.0,2.0,7.0,20.0,7.0,21.0,8.0,41.0,3038325.503,430962.0
254,1.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,2350392.707,59411.0
255,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2462290.5519999997,23679.0
256,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2493266.298,30901.0
257,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2378734.277,20415.0
258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2454718.624,24184.0
259,4.0,3.0,0.0,9.0,0.0,0.0,0.0,6.0,2439200.335,83650.0
260,12.0,5.0,3.0,11.0,2.0,0.0,0.0,10.0,2549652.5719999997,209070.0
